Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,DaeSean Hamilton,3000,LAR@DEN 10/14/2018 04:05PM ET,1.48,DEN
WR,Jordan Taylor,3000,LAR@DEN 10/14/2018 04:05PM ET,0,DEN
WR,JoJo Natson Jr.,3000,LAR@DEN 10/14/2018 04:05PM ET,0,LAR
WR,KhaDarel Hodge,3000,LAR@DEN 10/14/2018 04:05PM ET,0.8,LAR
RB,Dalyn Dawkins,3000,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
RB,David Fluellen,3000,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
RB,De'Lance Turner,3000,BAL@TEN 10/14/2018 04:25PM ET,1.02,BAL
RB,Kenneth Dixon,3000,BAL@TEN 10/14/2018 04:25PM ET,10.4,BAL
RB,Patrick Ricard,3000,BAL@TEN 10/14/2018 04:25PM ET,0,BAL
WR,Darius Jennings,3000,BAL@TEN 10/14/2018 04:25PM ET,2.18,TEN
WR,Nick Williams,3000,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
WR,Michael Campanaro,3000,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
WR,Tim White,3000,BAL@TEN 10/14/2018 04:25PM ET,0.8,BAL
WR,Quincy Adeboyejo,3000,BAL@TEN 10/14/2018 04:25PM ET,0,BAL
WR,Chris Moore,3000,BAL@TEN 10/14/2018 04:25PM ET,2.16,BAL
WR,Jordan Lasley,3000,BAL@TEN 10/14/2018 04:25PM ET,0,BAL
WR,Jaleel Scott,3000,BAL@TEN 10/14/2018 04:25PM ET,0,BAL
RB,Jamize Olawale,3000,JAX@DAL 10/14/2018 04:25PM ET,0,DAL
WR,Noah Brown,3000,JAX@DAL 10/14/2018 04:25PM ET,0,DAL
WR,Brice Butler,3000,JAX@DAL 10/14/2018 04:25PM ET,0,DAL
WR,Terrance Williams,3000,JAX@DAL 10/14/2018 04:25PM ET,1.27,DAL
WR,Jaydon Mickens,3000,JAX@DAL 10/14/2018 04:25PM ET,0,JAX
WR,Deonte Thompson,3000,JAX@DAL 10/14/2018 04:25PM ET,4.24,DAL
WR,Michael Gallup,3000,JAX@DAL 10/14/2018 04:25PM ET,2.84,DAL
WR,Tavon Austin,3000,JAX@DAL 10/14/2018 04:25PM ET,6.92,DAL
WR,Allen Hurns,3000,JAX@DAL 10/14/2018 04:25PM ET,4.48,DAL
TE,Nick Vannett,2900,SEA@OAK 10/14/2018 01:00PM ET,4.6,SEA
DST,Jets,2900,IND@NYJ 10/14/2018 01:00PM ET,10.6,NYJ
TE,Jesse James,2900,PIT@CIN 10/14/2018 01:00PM ET,9.16,PIT
TE,Gerald Everett,2900,LAR@DEN 10/14/2018 04:05PM ET,2.34,LAR
TE,Tyler Higbee,2900,LAR@DEN 10/14/2018 04:05PM ET,3.48,LAR
TE,Geoff Swaim,2900,JAX@DAL 10/14/2018 04:25PM ET,7.18,DAL
TE,Ian Thomas,2800,CAR@WAS 10/14/2018 01:00PM ET,4.3,CAR
TE,Antonio Gates,2800,LAC@CLE 10/14/2018 01:00PM ET,5.54,LAC
DST,Ravens,2800,BAL@TEN 10/14/2018 04:25PM ET,7.8,BAL
TE,Austin Seferian-Jenkins,2800,JAX@DAL 10/14/2018 04:25PM ET,5.2,JAX
TE,Jermaine Gresham,2700,ARI@MIN 10/14/2018 01:00PM ET,1.33,ARI
TE,Ricky Seals-Jones,2700,ARI@MIN 10/14/2018 01:00PM ET,5.66,ARI
TE,Tyler Kroft,2700,PIT@CIN 10/14/2018 01:00PM ET,1.52,CIN
DST,Chargers,2700,LAC@CLE 10/14/2018 01:00PM ET,4.8,LAC
TE,Charles Clay,2700,BUF@HOU 10/14/2018 01:00PM ET,3.78,BUF
TE,Mike Gesicki,2700,CHI@MIA 10/14/2018 01:00PM ET,3.14,MIA
TE,Hayden Hurst,2700,BAL@TEN 10/14/2018 04:25PM ET,1.7,BAL
DST,Panthers,2600,CAR@WAS 10/14/2018 01:00PM ET,8.75,CAR
DST,Seahawks,2600,SEA@OAK 10/14/2018 01:00PM ET,7.4,SEA
TE,Jordan Leggett,2600,IND@NYJ 10/14/2018 01:00PM ET,3.08,NYJ
TE,Virgil Green,2600,LAC@CLE 10/14/2018 01:00PM ET,5.08,LAC
DST,Browns,2600,LAC@CLE 10/14/2018 01:00PM ET,9.4,CLE
DST,Dolphins,2600,CHI@MIA 10/14/2018 01:00PM ET,9.4,MIA
TE,Jeff Heuerman,2600,LAR@DEN 10/14/2018 04:05PM ET,4.34,DEN
TE,Mark Andrews,2600,BAL@TEN 10/14/2018 04:25PM ET,6.1,BAL
TE,Jonnu Smith,2600,BAL@TEN 10/14/2018 04:25PM ET,0.82,TEN
TE,James O'Shaughnessy,2600,JAX@DAL 10/14/2018 04:25PM ET,2.64,JAX
TE,Niles Paul,2600,JAX@DAL 10/14/2018 04:25PM ET,3.96,JAX
TE,Logan Paulsen,2500,TB@ATL 10/14/2018 01:00PM ET,2.56,ATL
TE,Eric Saubert,2500,TB@ATL 10/14/2018 01:00PM ET,0.36,ATL
TE,Antony Auclair,2500,TB@ATL 10/14/2018 01:00PM ET,0.45,TB
TE,Alan Cross,2500,TB@ATL 10/14/2018 01:00PM ET,0,TB
TE,Jeremy Sprinkle,2500,CAR@WAS 10/14/2018 01:00PM ET,0,WAS
TE,Chris Manhertz,2500,CAR@WAS 10/14/2018 01:00PM ET,0,CAR
TE,Darrell Daniels,2500,SEA@OAK 10/14/2018 01:00PM ET,0,SEA
TE,Lee Smith,2500,SEA@OAK 10/14/2018 01:00PM ET,1.06,OAK
TE,Derek Carrier,2500,SEA@OAK 10/14/2018 01:00PM ET,1.1,OAK
TE,Will Dissly,2500,SEA@OAK 10/14/2018 01:00PM ET,9.65,SEA
TE,Tyler Ott,2500,SEA@OAK 10/14/2018 01:00PM ET,0,SEA
TE,Ed Dickson,2500,SEA@OAK 10/14/2018 01:00PM ET,0,SEA
TE,Ryan Hewitt,2500,IND@NYJ 10/14/2018 01:00PM ET,0,IND
TE,Erik Swoope,2500,IND@NYJ 10/14/2018 01:00PM ET,5.8,IND
TE,Neal Sterling,2500,IND@NYJ 10/14/2018 01:00PM ET,2.85,NYJ
TE,Chris Herndon,2500,IND@NYJ 10/14/2018 01:00PM ET,1.94,NYJ
TE,Eric Tomlinson,2500,IND@NYJ 10/14/2018 01:00PM ET,2.2,NYJ
DST,Colts,2500,IND@NYJ 10/14/2018 01:00PM ET,6.4,IND
TE,Josiah Price,2500,ARI@MIN 10/14/2018 01:00PM ET,0,MIN
TE,Kevin McDermott,2500,ARI@MIN 10/14/2018 01:00PM ET,0,MIN
TE,Tyler Conklin,2500,ARI@MIN 10/14/2018 01:00PM ET,0.66,MIN
TE,David Morgan,2500,ARI@MIN 10/14/2018 01:00PM ET,2.15,MIN
TE,Gabe Holmes,2500,ARI@MIN 10/14/2018 01:00PM ET,0,ARI
TE,Clark Harris,2500,PIT@CIN 10/14/2018 01:00PM ET,0,CIN
TE,Mason Schreck,2500,PIT@CIN 10/14/2018 01:00PM ET,0,CIN
TE,Xavier Grimble,2500,PIT@CIN 10/14/2018 01:00PM ET,0.38,PIT
TE,Orson Charles,2500,LAC@CLE 10/14/2018 01:00PM ET,0,CLE
TE,Seth DeValve,2500,LAC@CLE 10/14/2018 01:00PM ET,1.8,CLE
TE,Darren Fells,2500,LAC@CLE 10/14/2018 01:00PM ET,3.88,CLE
TE,Sean Culkin,2500,LAC@CLE 10/14/2018 01:00PM ET,0,LAC
TE,Hunter Henry,2500,LAC@CLE 10/14/2018 01:00PM ET,0,LAC
TE,Logan Thomas,2500,BUF@HOU 10/14/2018 01:00PM ET,1.7,BUF
TE,Jason Croom,2500,BUF@HOU 10/14/2018 01:00PM ET,4.26,BUF
TE,Jordan Akins,2500,BUF@HOU 10/14/2018 01:00PM ET,3.26,HOU
TE,Jordan Thomas,2500,BUF@HOU 10/14/2018 01:00PM ET,2.62,HOU
TE,Ryan Griffin,2500,BUF@HOU 10/14/2018 01:00PM ET,4.8,HOU
TE,Nick O'Leary,2500,CHI@MIA 10/14/2018 01:00PM ET,0,MIA
TE,Dion Sims,2500,CHI@MIA 10/14/2018 01:00PM ET,0.72,CHI
TE,Ben Braunecker,2500,CHI@MIA 10/14/2018 01:00PM ET,0,CHI
TE,Patrick Scales,2500,CHI@MIA 10/14/2018 01:00PM ET,0,CHI
TE,Adam Shaheen,2500,CHI@MIA 10/14/2018 01:00PM ET,0,CHI
TE,Daniel Brown,2500,CHI@MIA 10/14/2018 01:00PM ET,0,CHI
TE,A.J. Derby,2500,CHI@MIA 10/14/2018 01:00PM ET,3.83,MIA
TE,Durham Smythe,2500,CHI@MIA 10/14/2018 01:00PM ET,0,MIA
TE,Matt LaCosse,2500,LAR@DEN 10/14/2018 04:05PM ET,1.32,DEN
TE,Brian Parker,2500,LAR@DEN 10/14/2018 04:05PM ET,0,DEN
TE,Johnny Mundt,2500,LAR@DEN 10/14/2018 04:05PM ET,0,LAR
TE,Luke Stocker,2500,BAL@TEN 10/14/2018 04:25PM ET,2.26,TEN
TE,Beau Brinkley,2500,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
TE,MyCole Pruitt,2500,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
TE,Delanie Walker,2500,BAL@TEN 10/14/2018 04:25PM ET,9.2,TEN
TE,Maxx Williams,2500,BAL@TEN 10/14/2018 04:25PM ET,5.48,BAL
TE,Darren Waller,2500,BAL@TEN 10/14/2018 04:25PM ET,0,BAL
TE,Nick Boyle,2500,BAL@TEN 10/14/2018 04:25PM ET,4.28,BAL
DST,Titans,2500,BAL@TEN 10/14/2018 04:25PM ET,8.6,TEN
TE,Dalton Schultz,2500,JAX@DAL 10/14/2018 04:25PM ET,0,DAL
TE,Rico Gathers,2500,JAX@DAL 10/14/2018 04:25PM ET,1.05,DAL
TE,Blake Jarwin,2500,JAX@DAL 10/14/2018 04:25PM ET,0.42,DAL
DST,Redskins,2400,CAR@WAS 10/14/2018 01:00PM ET,6.25,WAS
DST,Bengals,2400,PIT@CIN 10/14/2018 01:00PM ET,8.6,CIN
DST,Steelers,2300,PIT@CIN 10/14/2018 01:00PM ET,10,PIT
DST,Cowboys,2300,JAX@DAL 10/14/2018 04:25PM ET,5.8,DAL
DST,Bills,2200,BUF@HOU 10/14/2018 01:00PM ET,7.2,BUF
DST,Falcons,2100,TB@ATL 10/14/2018 01:00PM ET,1.8,ATL
DST,Raiders,2100,SEA@OAK 10/14/2018 01:00PM ET,3.6,OAK
DST,Buccaneers,2000,TB@ATL 10/14/2018 01:00PM ET,4,TB
DST,Cardinals,2000,ARI@MIN 10/14/2018 01:00PM ET,8,ARI
DST,Broncos,2000,LAR@DEN 10/14/2018 04:05PM ET,5.4,DEN
